동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
오늘 도서관에 가서 공부할 거에요.	오늘 도서관에 가서 공부할 거예요.
다음주에 고향에 계신 부모님께 선물을 보내드릴께여.	다음 주에 고향에 계신 부모님께 선물을 보내 드릴게요.
푸른 잔디 위에 누워봤어요.	푸른 잔디 위에 누워 봤어요.
누나가 미국에 유학갔다면서요.	누나가 미국에 유학 갔다면서요.
여당이 추진중인 행정수도 건설 특별법 개정안에 야당의원이 서명한 것을 놓고 한바탕 소동이 벌어졌다.	여당이 추진 중인 행정 수도 건설 특별법 개정안에 야당 의원이 서명한 것을 놓고 한바탕 소동이 벌어졌다.
어머니께서 편찮으셔서 약국에서 약을 지어드렸어요.	어머니께서 편찮으셔서 약국에서 약을 지어 드렸어요.
친일파는 일본 정부 기관에 농민 궐기가 일어날 것에 대해 미리 막아야 한다고 정보를 흘렸다.	친일파는 일본 정보기관에 농민 궐기가 일어날 것에 대해 미리 막아야 한다고 정보를 흘렸다.
앤디씨에게 매일뉴스를 듣게 하세요.	앤디 씨에게 매일 뉴스를 듣게 하세요.
외모가 꽃처럼 예쁘듯이 성격도 역시 고았다.	외모가 꽃처럼 예쁘듯이 성격도 역시 고왔다.
최근 시골에 사는 청년들은 모두 도시로 나가고 싶어한다. 서울은 모든 면에서 한 나라의 중추가 되는 도시이다.	최근 시골에 사는 청년들은 모두 도시로 나가고 싶어 한다. 서울은 모든 면에서 한 나라의 중추가 되는 도시이다.
밤을 먹다가 전화를 받았어요.	밥을 먹다가 전화를 받았어요.
역사책이든가 소설책이든가 다 좋을 거 같아요.	역사책이든가 소설책이든가 다 좋을 것 같아요.
우리 아이는 운동이면 운동 공부면 공부 잘하는게 하나 없어 걱정이에요.	우리 아이는 운동이면 운동 공부면 공부 잘하는 게 하나 없어 걱정이에요.
어제 줄리아씨는 수업은 안 듣고 잠만 잤어요.	어제 줄리아 씨는 수업은 안 듣고 잠만 잤어요.
구두를 신고 있어여.	구두를 신고 있어요.
부모님은 자신의 자식들이 의사라거나 변호사라거나 약사와같은 경제적으로 안정된 직업을 갖기를 바란다.	부모님은 자신의 자식들이 의사라거나 변호사라거나 약사와 같은 경제적으로 안정된 직업을 갖기를 바란다.
왕밍씨도 이 책을 읽고 시퍼여.	왕밍 씨도 이 책을 읽고 싶어요.
가수가 멋있어서인지 노래도 조은것 같아여.	가수가 멋있어서인지 노래도 좋은 것 같아요.
이제 컴퓨터 게임을 안해야지.	이제 컴퓨터 게임을 안 해야지.
투자자들의 궁중 심리로 그 회사의 주식에 대한 인기가 과열하여 이상한 현상이 나타나고 있다.	투자자들의 군중 심리로 그 회사의 주식에 대한 인기가 과열하여 이상한 현상이 나타나고 있다.
요즘은 살기가 어려워서인지 평범한 사람들도 솔깃한 말로 다른 사람들을 현혹하여 재물을 긁어모으는 사기 행각이 늘어가고 있다.	요즘은 살기가 어려워서인지 평범한 사람들도 솔깃한 말로 다른 사람들을 현혹하여 재물을 긁어 모으는 사기 행각이 늘어가고 있다.
지금 가진 돈이 만원 뿐인데 부산까지 갈 수 있을까요.	지금 가진 돈이 만원뿐인데 부산까지 갈 수 있을까요.
줄리아 씨가 짐을 차에 실어가지고 바로 공항에 갔어요.	줄리아 씨가 짐을 차에 실어 가지고 바로 공항에 갔어요.
내일은 일찍 학교에 올래.	내일은 일찍 학교에 올게.
수업이 끝난 후에 뭐 할거예요.	수업이 끝난 후에 뭐 할 거예요.
누가 보던지 안 보던지 자기 할 일은 해야지.	누가 보든지 안 보든지 자기 할 일은 해야지.
오랫만에 조카를 만났더니 몰라보게 예뻐져써요.	오랜만에 조카를 만났더니 몰라보게 예뻐졌어요.
아버지는 큰 형에게 그동안 집안 대소사에 참석하지 않는 것에 대해 왜 그러느냐고 노목을 부라렸다.	아버지는 큰형에게 그동안 집안 대소사에 참석하지 않는 것에 대해 왜 그러느냐고 노목을 부라렸다.
마이클씨가 한국에 산지도 벌써 5년이 되가요.	마이클 씨가 한국에 산 지도 벌써 5년이 되어 가요.
커피를 끓여서 한 잔 씩 마셔요.	커피를 끓여서 한 잔씩 마셔요.
사장님께서 편하신 것을 입으세여.	사장님께서 편하신 것을 입으세요.
소방관들은 불이 난 곳은 어디든 달려갑니다.	소방관들은 불이 난 곳이면 어디고 달려갑니다.
동서분단의 상징이었던 베를린 장벽이 무너지자 동독은 독립국가로 존립하기 어려운 현실을 받아들일 수 밖에 없었다.	동서 분단의 상징이었던 베를린 장벽이 무너지자 동독은 독립국가로 존립하기 어려운 현실을 받아들일 수 밖에 없었다.
조기교육으로 인하여 아이들의 외국어 실력이 향상되었습니다.	조기 교육으로 인하여 아이들의 외국어 실력이 향상되었습니다.
내일 학교에 안오는만큼 집에 가서 실컷 잘거에요.	내일 학교에 안 오는 만큼 집에 가서 실컷 잘 거예요.
엄마 제 방에 들어오지 말아주세요.	엄마 제 방에 들어오지 말아 주세요.
태종원년 7월에 설치된 신문고는 민의를 듣고 이를 반영하는데는 큰 실효를 거두지 못했다.	태종 원년 7월에 설치된 신문고는 민의를 듣고 이를 반영하는 데는 큰 실효를 거두지 못했다.
동심이 순수하다고 하는 것은 마음이 선해서가 아니라 그 마음에 착하고 악함의 꾸밈과 계산이 없기 때문이니까.	동심이 순수하다고 하는 것은 마음이 선해서가 아니라 그 마음의 착하고 악함에 꾸밈과 계산이 없기 때문이니까.
왕밍씨가 앤디씨한테서 연필을 받았어여.	왕밍 씨가 앤디 씨한테서 연필을 받았어요.
역사 연구소는 이번에 발굴될 유물들에 대해 고대의 사회연구에 매우 중요하다고 의의를 두었다.	역사 연구소는 이번에 발굴된 유물들에 대해 고대 사회 연구에 매우 중요하다고 의의를 두었다.
1년 전부터 배워왔쎄요.	1년 전부터 배워 왔어요.
노란 옷을 입고있는 사람이 제 동생 입니다.	노란 옷을 입고 있는 사람이 제 동생입니다.
우리는 옛날에 배고파봤어여.	우리는 옛날에 배고파 봤어요.
올해 국제 영화제는 어느대보다도 세계 각구에서 초대된 영화로 풍성한 볼거리를 마련하고 있다.	올해 국제 영화제는 어느 때보다도 세계 각국에서 초대된 영화로 풍성한 볼거리를 마련하고 있다.
노동자들은 건설 현장에서 일하는 경우도 건설 업체가 아니라 식장에게 고용돼 있어 고용 관계가 유동적이다.	노동자들은 건설 현장에서 일하는 경우도 건설업체가 아니라 십장에게 고용돼 있어 고용관계가 유동적이다.
막내가 재롱을 부리는 것은 부모에게 어떻게 힘든 인생을 살아가야 할 지에 대해 활력을 준다.	막내가 재롱을 부리는 것은 부모에게 어떻게 힘든 인생을 살아가야 할지에 대해 활력을 준다.
숙제를 끝낸다음에 게임을 할거에요.	숙제를 끝낸 다음에 게임을 할 거예요.
살이 찌는 것은 군것질을 많이 하는 탓 이다.	살이 찌는 것은 군것질을 많이 하는 탓이다.
잠 자기 전 음악을 들어요.	잠자기 전 음악을 들어요.
아키라씨는 무슨 말을 하려다가 멈추었다.	아키라 씨는 무슨 말을 하려다가 멈추었다.
낮이든 밤이든 그렇게 공부만 하다간 병 나겠어요.	낮이든 밤이든 그렇게 공부만 하다가는 병나겠어요.
지하철에서 시끄럽게 하면 안됩니다.	지하철에서 시끄럽게 하면 안 됩니다.
어제 마이클씨에게 들은 소식을 알려주세요.	어제 마이클 씨에게 들은 소식을 알려주세요.
이런 방법으로만 같아도 금방 한국어 실력이 좋아질거에요.	이런 방법으로만 같아도 금방 한국어 실력이 좋아질 거예요.
이 프로그램은 어린이들에게 자신이 귀한 존재임을 스스로 깨닫게 해주는 교육철학을 담고있다.	이 프로그램은 어린이들에게 자신이 귀한 존재임을 스스로 깨닫게 해주는 교육철학을 담고 있다.
검찰을 이 씨의 재산 형성 경위와 예금 계좌 추적 등을 통해 또다른 정답 유출 사실의 단서 확보에 주력하고 있다.	검찰은 이씨의 재산 형성 경위와 예금 계좌 추적 등을 통해 또 다른 정답 유출 사실의 단서 확보에 주력하고 있다.
시험공부를 하느라고 요즘 친구를 못만나요.	시험공부를 하느라고 요즘 친구를 못 만나요.
거침없이 기발한 의견을 내던 신입사원의 의견은 원칙주의자로 소문난 팀장에게 기어코 퇴짜 맞았다.	거침없이 기발한 의견을 내던 신입사원의 의견은 원칙주의자로 소문난 팀장에게 기어코 퇴짜맞았다.
늦잠을 자다가 약속시간에 늦었다.	늦잠을 자다가 약속 시간에 늦었다.
아무리 후회해봐야 지난일을 되돌릴 수 없어요.	아무리 후회해 봐야 지난 일을 되돌릴 수 없어요.
내가 기다린대로 너는 기다릴 수 없을 거야.	내가 기다린 대로 너는 기다릴 수 없을 거야.
수지씨에게서 연락이 있었어요.	수지 씨에게서 연락 있었어요.
음악은 제가 안 좋아하는 것이예요.	음악은 제가 안 좋아하는 것이에요.
유명 브랜드에 오래 동안 매료당해왔던 필자로서는 그 곁을 떠나지 못하고 항시 맴돌고 있었다.	유명 브랜드에 오래 동안 매료당해 왔던 필자로서는그 곁을 떠나지 못하고 항시 맴돌고 있었다.
나는 세계 정세가 변화하는 것에 대해 정보력이 더욱 큰 비중을 차지하게 될거라는 예감이 있다.	나는 세계 정세가 변화하는 것에 대해 정보력이 더욱 큰 비중을 차지하게 될 거라는 예감이 있다.
우리 경제가 강대국에 철저히 예속화 될 경우 우리가 국제사회에서 독립적인 존재가 될 수 있을까?	우리 경제가 강대국에 철저히 예속화될 경우 우리가 국제 사회에서 독립적인 존재가 될 수 있을까?
오시 매우 예쁘구나.	옷이 매우 예쁘구나.
할아버지의 상태가 점점 회복되어가니 다행이에요.	할아버지의 상태가 점점 회복되어 가니 다행이에요.
사장은 이 부분에 두 회사가 합병하는데 대해서는 그럴 의사가 조금도 없다고 줄을 달았다.	사장은 이 부분에 두 회사가 합병하는 데 대해서는 그럴 의사가 조금도 없다고 주를 달았다.
이번 가을에는 제주도로 떠날까봅니다.	이번 가을에는 제주도로 떠날까 봅니다.
네 지갑를 잃어 버린적이 몇 번 있어요.	네 지갑을 잃어버린 적이 몇 번 있어요.
수박은 박과 생선회로 만듭니다.	초밥은 밥과 생선회로 만듭니다.
어마어마한 복권 당첨금으로 벼락부자가 되었던 그는 노름꾼들에게 전 재산을 잃고 빈털털이가 되었다.	어마어마한 복권 당첨금으로 벼락 부자가 되었던 그는 노름꾼들에게 전 재산을 잃고 빈털터리가 되었다.
영수가 학생이 아니었나여?	영수가 학생이 아니었나요?
손님 의자가 많이 불편하세여.	손님 의자가 많이 불편하세요.
도둑이 내가방에서 지갑을 꺼내는줄모르고 잇엇다.	도둑이 내 가방에서 지갑을 꺼내는 줄 모르고 있었다.
줄리아 씨가 입학서류를 미리 준비해놔서 다행이에요.	줄리아 씨가 입학 서류를 미리 준비해 놔서 다행이에요.
어릴때 살던 집을 찾아갔지만 동네가 너무 많이 변해 집을 찾으려야 찾을 수가 없었다.	어릴 때 살던 집을 찾아갔지만 동네가 너무 많이 변해 집을 찾으려야 찾을 수가 없었다.
로마 제국으로부터 박해받아 비장해질 수 밖에 없었던 카톨릭은 오히려 그 국교가 되어 로마를 정신적으로 정복하고 더욱 엄격해졌다.	로마 제국으로부터 박해받아 비장해질 수밖에 없었던 카톨릭은 오히려 그 국교가 되어 로마를 정신적으로 정복하고 더욱 엄격해졌다.
수지 씨는 이 물건을 어디에서 사왔습니까?	수지 씨는 이 물건을 어디에서 사 왔습니까?
왕밍씨는 중국 사람이에여. 미도리씨는 일본 사람이고요.	왕밍 씨는 중국 사람이에요. 미도리 씨는 일본 사람이고요.
그가 오든지 가든지 나와는 전혀 상관 없는 일이다.	그가 오든지 가든지 나와는 전혀 상관없는 일이다.
도착과 동시에 직원들의 따뜻한 환대를 받으며 그동안의 피로를 말끔히 씻어버릴 수 있는 시원한 열대음료가 쥐여졌다.	도착과 동시에 직원들의 따뜻한 환대를 받으며 그 동안의 피로를 말끔히 씻어 버릴 수 있는 시원한 열대음료가 쥐어졌다.
선비는 딱 한 번 뇌물을 받은 것으로 유학자의 길을 올곧게 걸어가는 것에 대해 명분을 잃고말았다.	선비는 딱 한번 뇌물을 받은 것으로 유학자의 길을 올곧게 걸어가는 것에 대해 명분을 잃고 말았다.
